cik,ni,ocf,rev,cogs,at,at_prev,se,fyear,ticker,tacc,gpoa
1750,72900000.0,139800000.0,,,2155900000.0,2189300000.0,966200000.0,2013,AIR,-0.030557712510848215,
1800,2576000000.0,3324000000.0,,,42937000000.0,67235000000.0,25171000000.0,2013,ABT,-0.011125158027812896,
2098,4002905.0,6475466.0,89576777.0,,68078979.0,67827816.0,35005245.0,2013,ACU,-0.03645349571627074,
2186,1142000.0,1990000.0,,,34023000.0,33960000.0,31420000.0,2013,BKTI,-0.024970553592461718,
2488,-83000000.0,-148000000.0,,,4337000000.0,4000000000.0,544000000.0,2013,AMD,0.01625,
2809,,,,,4959359000.0,5256119000.0,,2013,AEMRF,,
2969,994200000.0,,,,17915200000.0,17393100000.0,7264000000.0,2013,APD,,
3197,6557000.0,24181000.0,,,349210000.0,94104000.0,170406000.0,2013,CECO,-0.18728215591260733,
3453,53700000.0,,,,1248300000.0,1174300000.0,338200000.0,2013,MATX,,
3499,56915000.0,73883000.0,,,1457724000.0,1481810000.0,333581000.0,2013,ALX,-0.011450860771623892,
3545,19646000.0,13426000.0,101661000.0,79987000.0,193361000.0,176052000.0,140234000.0,2013,ALCO,0.03533047054279417,0.12311135346374935
3570,-507922000.0,-52436000.0,267213000.0,,9673237000.0,4639085000.0,179682000.0,2013,LNG,-0.09818444801076075,
4127,278100000.0,,,,2435400000.0,2151107000.0,2212200000.0,2013,SWKS,,
4281,-2285000000.0,1578000000.0,,,35742000000.0,40179000000.0,10593000000.0,2013,HWM,-0.09614475223375395,
4457,342391000.0,733966000.0,2835252000.0,,5874109000.0,5219305000.0,1494422000.0,2013,UHAL-B,-0.07502435669116865,
4904,1480000000.0,4096200000.0,14813500000.0,,56321000000.0,54367000000.0,16085000000.0,2013,AEP,-0.04812110287490573,
4962,5359000000.0,,,,153000000000.0,153140000000.0,19496000000.0,2013,AXP,,
4977,3158000000.0,10547000000.0,23939000000.0,,121307000000.0,121307000000.0,14620000000.0,2013,AFL,-0.06091157146743387,
5272,9085000000.0,5865000000.0,68874000000.0,,541329000000.0,548633000000.0,100470000000.0,2013,AIG,0.005869132917633463,
5513,847000000.0,1031500000.0,10368600000.0,,59403600000.0,62236100000.0,8639900000.0,2013,UNMA,-0.002964517378177617,
5981,34449000.0,-6214000.0,,209674000.0,447443000.0,399890000.0,257953000.0,2013,AVD,0.10168546350246317,
6176,12437000.0,37774000.0,,,502673000.0,533179000.0,234995000.0,2013,AP,-0.04752062628123013,
6201,-1834000000.0,675000000.0,,,42278000000.0,23510000000.0,-2731000000.0,2013,AAL,-0.10672054444917056,
6207,-2939000.0,5495000.0,62197000.0,,191626000.0,200318000.0,79161000.0,2013,AXR,-0.04210305614073623,
6281,673487000.0,912345000.0,,,6399468000.0,5716808000.0,4795635000.0,2013,ADI,-0.041781707554285535,
6845,27986000.0,,52544000.0,,545413000.0,523681000.0,347183000.0,2013,APOG,,
6951,256000000.0,623000000.0,,,12199000000.0,11714000000.0,7241000000.0,2013,AMAT,-0.03133003243981561,
6955,30048000.0,193789000.0,,,2163865000.0,2025456000.0,,2013,EPAC,-0.08084154876728994,
7084,1342000000.0,5226000000.0,89804000000.0,85915000000.0,43752000000.0,45136000000.0,,2013,ADM,-0.08605104572846509,0.08616182204891883
7431,94100000.0,213700000.0,,,2722000000.0,2854300000.0,673200000.0,2013,AWI,-0.041901692183722805,
7536,399420000.0,450691000.0,,18566356000.0,12060883000.0,10785687000.0,4180232000.0,2013,ARW,-0.004753614674707323,
7623,1551376.0,-2344.0,,,32767621.0,31228676.0,18294145.0,2013,ARTW,0.04975298984817672,
7789,188692000.0,477958000.0,958642000.0,,24226920000.0,23487735000.0,2891290000.0,2013,ASB-PF,-0.012315619194443397,
8063,27266000.0,49549000.0,,,491271000.0,211989000.0,171509000.0,2013,ATROB,-0.10511394459146466,
8146,3212000.0,-4462000.0,,,77964000.0,79913000.0,66614000.0,2013,ALOT,0.09602943200730794,
8177,11022000.0,13020000.0,165369000.0,,319381000.0,320177000.0,100927000.0,2013,AAME,-0.006240298334983462,
8504,1290453.0,3112821.0,,,69991477.0,37049272.0,28910601.0,2013,UAVS,-0.049187687142678536,
8670,1405800000.0,1577200000.0,9442000000.0,,38321800000.0,33330000000.0,6258500000.0,2013,ADP,-0.005142514251425143,
8818,,319600000.0,,,4610600000.0,5105300000.0,1468100000.0,2013,AVY,,
8858,545604000.0,237418000.0,,24273923000.0,11485298000.0,10549530000.0,4628416000.0,2013,AVT,0.029213244571085158,
8947,59597000.0,107275000.0,,,989175461.0,674464532.0,374496520.0,2013,AZZ,-0.07069015157642122,
9092,24617000.0,34818000.0,,,316058000.0,290453000.0,196563000.0,2013,BMI,-0.03512100064382189,
9326,44874000.0,55692000.0,337173000.0,239752000.0,376872000.0,312545000.0,331358000.0,2013,BCPC,-0.0346126157833272,0.3117023148666592
9389,,839000000.0,,,7820400000.0,7520700000.0,1224600000.0,2013,BALL,,
10048,,,24608000.0,,65929000.0,67516000.0,19990000.0,2013,BRN,,
10329,5096000.0,10640000.0,,,225849000.0,227180000.0,157409000.0,2013,BSET,-0.024403556651113656,
10456,2012000000.0,3198000000.0,,,25224000000.0,20390000000.0,8463000000.0,2013,BAX,-0.058165767533104464,
10795,1293000000.0,,,,12035000000.0,11629437000.0,5078000000.0,2013,BDX,,
11544,499925000.0,819798000.0,6408534000.0,,20551796000.0,20155896000.0,4336035000.0,2013,WRB-PH,-0.01586994693761071,
12040,1977000.0,6744000.0,,,51732000.0,49749000.0,21228000.0,2013,BDL,-0.09582102152807091,
12208,77790000.0,169136000.0,,,3388790000.0,3443503000.0,2186722000.0,2013,BIO-B,-0.026527056895260435,
12239,-17965000.0,,27000.0,3000.0,69853000.0,4756000.0,48302000.0,2013,DOMH,,0.005046257359125316
12659,475157000.0,809581000.0,3024295000.0,1572377000.0,3515287000.0,3932496000.0,686759000.0,2013,HRB,-0.08504115452374268,0.36921029290303153
12927,4585000000.0,8179000000.0,86623000000.0,73268000000.0,92663000000.0,88896000000.0,14875000000.0,2013,BA-PA,-0.0404292656587473,0.15023173146148308
13156,563317.0,2375798.0,,,21227355.0,22404946.0,1279243.0,2013,GLXZ,-0.08089646812806423,
14177,2916000.0,3760000.0,129003000.0,,63390000.0,61942000.0,33643000.0,2013,BRID,-0.013625649801427142,
14272,2563000000.0,3545000000.0,,,38592000000.0,35897000000.0,15154000000.0,2013,CELG-RI,-0.027356046466278518,
14693,659000000.0,,,,3993000000.0,3832300000.0,1889000000.0,2013,BF-A,,
14707,38073000.0,104032000.0,132596000.0,,1146340000.0,1173973000.0,476699000.0,2013,CAL,-0.056184426728723744,
14846,,766000.0,32003000.0,,546893000.0,432343000.0,136265000.0,2013,BRT,,
14930,769200000.0,174300000.0,,,2915800000.0,2424200000.0,1038400000.0,2013,BC-PC,0.24540054450952892,
15615,140950000.0,200402000.0,4324787000.0,,2923200000.0,2416300000.0,1016089000.0,2013,MTZ,-0.024604560691967058,
15847,514000.0,5001000.0,,,41115000.0,44321000.0,20088000.0,2013,BUKS,-0.10123869046276032,
16040,153000000.0,419000000.0,3456000000.0,,4455000000.0,4376000000.0,2005000000.0,2013,CBT,-0.06078610603290677,
16058,151689000.0,249331000.0,3681990000.0,3411149000.0,3519359000.0,2499566000.0,1284138000.0,2013,CACI,-0.03906358143773759,0.10835521046453664
16160,109207000.0,,,,752885000.0,743989000.0,542929000.0,2013,CALM,,
16732,712000000.0,1019000000.0,,,8119000000.0,8593000000.0,1410000000.0,2013,CPB,-0.035726754334923776,
16918,1943100000.0,826200000.0,,,14336300000.0,8322700000.0,4789800000.0,2013,STZ,0.1341992382279789,
17313,,,,,,635212000.0,,2013,CSWC,,
17843,146100000.0,,,,2895400000.0,2582200000.0,1376700000.0,2013,CRS,,
18230,,,55656000000.0,,84755000000.0,88970000000.0,,2013,CAT,,
18255,54322000.0,92959000.0,920033000.0,,596918000.0,532646000.0,391109000.0,2013,CATO,-0.07253785816470977,
18498,92653000.0,139999000.0,,,1439284000.0,1326072000.0,916190000.0,2013,GCO,-0.03570394367726639,
18926,-239000000.0,,18095000000.0,,51787000000.0,53940000000.0,17191000000.0,2013,LUMN,,
19584,77227000.0,,,1008808000.0,893701000.0,859626000.0,448890000.0,2013,CHE,,
19617,17886000000.0,107953000000.0,97367000000.0,,2414879000000.0,2359141000000.0,211178000000.0,2013,JPM-PM,-0.038177879151776006,
19745,32787000.0,72931000.0,444306000.0,,837522000.0,733746000.0,278773000.0,2013,CPK,-0.05471103079267212,
19871,2479029.0,3058485.0,,,28157346.0,25911503.0,24871102.0,2013,CVR,-0.022362886475554893,
20212,54900000.0,144915000.0,0.0,,1352261000.0,1114337000.0,704800000.0,2013,CHDN,-0.08077897440361399,
20286,517000000.0,796000000.0,4531000000.0,,17662000000.0,16548000000.0,6070000000.0,2013,CINF,-0.0168600435097897,
20639,-6018000.0,-2267000.0,,,98363000.0,104870000.0,59773000.0,2013,ABCP,-0.03576809383045675,
