cik,ni,ocf,rev,cogs,at,at_prev,se,fyear
1750,72900000.0,139800000.0,,,2155900000.0,2189300000.0,966200000.0,2013
1800,2576000000.0,3324000000.0,,,42937000000.0,67235000000.0,25171000000.0,2013
1961,-4886510.0,-1101438.0,,,328044.0,236724.0,-4760002.0,2013
2034,22328000.0,23731000.0,,,339762000.0,315447000.0,218022000.0,2013
2098,4002905.0,6475466.0,89576777.0,,68078979.0,67827816.0,35005245.0,2013
2178,21610000.0,43976000.0,3945969000.0,,448082000.0,419501000.0,154685000.0,2013
2186,1142000.0,1990000.0,,,34023000.0,33960000.0,31420000.0,2013
2488,-83000000.0,-148000000.0,,,4337000000.0,4000000000.0,544000000.0,2013
2491,141444000.0,205372000.0,997039000.0,,2527806000.0,997721000.0,190144000.0,2013
2809,,,,,4959359000.0,5256119000.0,,2013
2969,994200000.0,,,,17915200000.0,17393100000.0,7264000000.0,2013
3116,52362000.0,57326000.0,,,431805000.0,369565000.0,260180000.0,2013
3146,57400000.0,130000000.0,,,1198100000.0,,384600000.0,2013
3197,6557000.0,24181000.0,,,349210000.0,94104000.0,170406000.0,2013
3453,53700000.0,,,,1248300000.0,1174300000.0,338200000.0,2013
3499,56915000.0,73883000.0,,,1457724000.0,1481810000.0,333581000.0,2013
3545,19646000.0,13426000.0,101661000.0,79987000.0,193361000.0,176052000.0,140234000.0,2013
3570,-507922000.0,-52436000.0,267213000.0,,9673237000.0,4639085000.0,179682000.0,2013
4127,278100000.0,,,,2435400000.0,2151107000.0,2212200000.0,2013
4187,-13816000.0,5523000.0,,,44032000.0,63323000.0,18046000.0,2013
4281,-2285000000.0,1578000000.0,,,35742000000.0,40179000000.0,10593000000.0,2013
4447,5052000000.0,5098000000.0,14028000000.0,,42754000000.0,43441000000.0,24720000000.0,2013
4457,342391000.0,733966000.0,2835252000.0,,5874109000.0,5219305000.0,1494422000.0,2013
4515,,,,,,23264000000.0,,2013
4828,,,,,,1502045000.0,,2013
4904,1480000000.0,4096200000.0,14813500000.0,,56321000000.0,54367000000.0,16085000000.0,2013
4962,5359000000.0,,,,153000000000.0,153140000000.0,19496000000.0,2013
4969,446000000.0,,1007000000.0,,29926000000.0,33795000000.0,2389000000.0,2013
4977,3158000000.0,10547000000.0,23939000000.0,,121307000000.0,121307000000.0,14620000000.0,2013
5117,,,,,,68397000.0,,2013
5133,50522000.0,160074000.0,1969666000.0,,1607258000.0,1704719000.0,363968000.0,2013
5272,9085000000.0,5865000000.0,68874000000.0,,541329000000.0,548633000000.0,100470000000.0,2013
5513,847000000.0,1031500000.0,10368600000.0,,59403600000.0,62236100000.0,8639900000.0,2013
5656,-246397.0,-264351.0,,,1912312.0,1998314.0,813624.0,2013
5768,,,,,274522000.0,292772000.0,195706000.0,2013
5981,34449000.0,-6214000.0,,209674000.0,447443000.0,399890000.0,257953000.0,2013
6176,12437000.0,37774000.0,,,502673000.0,533179000.0,234995000.0,2013
6201,-1834000000.0,675000000.0,,,42278000000.0,23510000000.0,-2731000000.0,2013
6207,-2939000.0,5495000.0,62197000.0,,191626000.0,200318000.0,79161000.0,2013
6281,673487000.0,912345000.0,,,6399468000.0,5716808000.0,4795635000.0,2013
6284,31121000.0,41443000.0,550363000.0,,586920000.0,560689000.0,500335000.0,2013
6292,,,,,,24719000.0,,2013
6314,15056000.0,26251000.0,,,224824000.0,211315000.0,194570000.0,2013
6494,-1117661.0,,3250800.0,1295708.0,2788910.0,3729758.0,2199731.0,2013
6732,-415963.0,-167616.0,691286.0,,286274.0,0.0,-370986.0,2013
6769,2188000000.0,9428000000.0,,,51966000000.0,58902000000.0,33396000000.0,2013
6845,27986000.0,,52544000.0,,545413000.0,523681000.0,347183000.0,2013
6885,16642000.0,46527000.0,,,810837000.0,794871000.0,454444000.0,2013
6951,256000000.0,623000000.0,,,12199000000.0,11714000000.0,7241000000.0,2013
6955,30048000.0,193789000.0,,,2163865000.0,2025456000.0,,2013
7032,,,,,,10333341000.0,,2013
7039,19498000.0,13242000.0,,,143667000.0,120376000.0,102930000.0,2013
7084,1342000000.0,5226000000.0,89804000000.0,85915000000.0,43752000000.0,45136000000.0,,2013
7286,,,,,13508686000.0,,4194470000.0,2013
7332,704000000.0,1908528000.0,3371000000.0,,8048000000.0,6738000000.0,3622000000.0,2013
7431,94100000.0,213700000.0,,,2722000000.0,2854300000.0,673200000.0,2013
7536,399420000.0,450691000.0,,18566356000.0,12060883000.0,10785687000.0,4180232000.0,2013
7623,1551376.0,-2344.0,,,32767621.0,31228676.0,18294145.0,2013
7789,188692000.0,477958000.0,958642000.0,,24226920000.0,23487735000.0,2891290000.0,2013
8063,27266000.0,49549000.0,,,491271000.0,211989000.0,171509000.0,2013
8146,3212000.0,-4462000.0,,,77964000.0,79913000.0,66614000.0,2013
8177,11022000.0,13020000.0,165369000.0,,319381000.0,320177000.0,100927000.0,2013
8328,-13063526.0,-8205101.0,54825.0,,15215287.0,7818460.0,1486567.0,2013
8411,350224000.0,432110000.0,,,4078719000.0,3258946000.0,2294583000.0,2013
