ym,MktRF,SMB,HML,RF,WML
2013-01-31,0.0557,0.0028000000000000004,0.0101,0.0,-0.0177
2013-02-28,0.0128,-0.0029,0.0018,0.0,0.0124
2013-03-31,0.0404,0.0083,-0.0021,0.0,0.0191
2013-04-30,0.015600000000000001,-0.023700000000000002,0.0046,0.0,0.0019
2013-05-31,0.027999999999999997,0.0167,0.0271,0.0,-0.020099999999999996
2013-06-30,-0.012,0.0131,-0.0004,0.0,0.0058
2013-07-31,0.0565,0.0182,0.005699999999999999,0.0,0.0175
2013-08-31,-0.0271,0.0032,-0.0273,0.0,0.0005
2013-09-30,0.0377,0.028900000000000002,-0.0118,0.0,0.0304
2013-10-31,0.0417,-0.015600000000000001,0.012199999999999999,0.0,0.0007000000000000001
2013-11-30,0.0311,0.0131,0.0019,0.0,0.0036
2013-12-31,0.0281,-0.0044,0.0,0.0,0.0002
2014-01-31,-0.0332,0.009300000000000001,-0.0199,0.0,0.016399999999999998
2014-02-28,0.0466,0.0036,-0.0034999999999999996,0.0,0.0216
2014-03-31,0.0043,-0.018600000000000002,0.049,0.0,-0.0327
2014-04-30,-0.0018,-0.0418,0.012199999999999999,0.0,-0.038900000000000004
2014-05-31,0.020499999999999997,-0.018500000000000003,-0.001,0.0,0.0088
2014-06-30,0.026000000000000002,0.0305,-0.0070999999999999995,0.0,0.006500000000000001
2014-07-31,-0.0203,-0.0417,-0.0008,0.0,-0.002
2014-08-31,0.0424,0.004,-0.0058,0.0,0.0084
2014-09-30,-0.0196,-0.036000000000000004,-0.0147,0.0,0.0064
2014-10-31,0.025099999999999997,0.04019999999999999,-0.0167,0.0,-0.0027
2014-11-30,0.0256,-0.020499999999999997,-0.0313,0.0,0.0069
2014-12-31,-0.0005,0.0252,0.021099999999999997,0.0,0.0105
2015-01-31,-0.031,-0.0060999999999999995,-0.0348,0.0,0.037200000000000004
2015-02-28,0.0613,0.0064,-0.0175,0.0,-0.0287
2015-03-31,-0.0111,0.030600000000000002,-0.0038,0.0,0.027200000000000002
2015-04-30,0.0059,-0.0298,0.0181,0.0,-0.0726
2015-05-31,0.0137,0.0096,-0.011000000000000001,0.0,0.0576
2015-06-30,-0.0152,0.029500000000000002,-0.008,0.0,0.0301
2015-07-31,0.015700000000000002,-0.0417,-0.0416,0.0,0.10039999999999999
2015-08-31,-0.0602,0.0037,0.0275,0.0,-0.0215
2015-09-30,-0.030600000000000002,-0.0263,0.0055000000000000005,0.0,0.0526
2015-10-31,0.0775,-0.0191,-0.0046,0.0,-0.0329
2015-11-30,0.005699999999999999,0.0358,-0.0043,0.0,0.023
2015-12-31,-0.0215,-0.027999999999999997,-0.025699999999999997,0.0001,0.0333
2016-01-31,-0.0574,-0.034,0.0208,0.0001,0.0148
2016-02-29,-0.0006,0.0073,-0.0060999999999999995,0.0002,-0.0436
2016-03-31,0.0695,0.0075,0.0123,0.0002,-0.0504
2016-04-30,0.0092,0.0077,0.0322,0.0001,-0.0599
2016-05-31,0.0178,-0.0018,-0.016200000000000003,0.0001,0.0139
2016-06-30,-0.0003,0.006,-0.0149,0.0002,0.0414
2016-07-31,0.0394,0.024700000000000003,-0.0127,0.0002,-0.0338
2016-08-31,0.0049,0.011899999999999999,0.0317,0.0002,-0.0346
2016-09-30,0.0027,0.0209,-0.012199999999999999,0.0002,0.0023
2016-10-31,-0.020099999999999996,-0.0441,0.040999999999999995,0.0002,0.0062
2016-11-30,0.048600000000000004,0.055999999999999994,0.0832,0.0001,-0.047400000000000005
2016-12-31,0.0181,0.0013,0.035,0.0003,-0.0026
2017-01-31,0.0194,-0.0116,-0.0274,0.0004,-0.0092
2017-02-28,0.0355,-0.0213,-0.0152,0.0004,-0.015300000000000001
2017-03-31,0.0017000000000000001,0.0113,-0.0333,0.0003,-0.0096
2017-04-30,0.0108,0.0068000000000000005,-0.0208,0.0005,0.0051
2017-05-31,0.010700000000000001,-0.025099999999999997,-0.0382,0.0006,0.0149
2017-06-30,0.0079,0.0222,0.0151,0.0006,-0.0011
2017-07-31,0.018799999999999997,-0.014499999999999999,-0.0023,0.0007000000000000001,0.016399999999999998
2017-08-31,0.0018,-0.0167,-0.0213,0.0009,0.0336
2017-09-30,0.024900000000000002,0.044500000000000005,0.0315,0.0009,-0.0134
2017-10-31,0.0226,-0.019299999999999998,0.0013,0.0009,0.0424
2017-11-30,0.031200000000000002,-0.006,-0.0009,0.0008,-0.0091
2017-12-31,0.0106,-0.0132,0.0005,0.0009,-0.015700000000000002
2018-01-31,0.0558,-0.0316,-0.0132,0.0011,0.0406
2018-02-28,-0.0364,0.0027,-0.011000000000000001,0.0011,0.036000000000000004
2018-03-31,-0.0235,0.0405,-0.0021,0.0012,-0.0121
